Model,Subject,single_class,Accuracy,BalAcc,AUC,F1,Acc_drop,F1_drop,AUC_drop,Infer_ms_per_sample,Train_ms
Random Forest,g13,False,0.5894941634241245,0.4546118251928021,0.42283804627249355,0.5942243244161447,-0.0038910505836575737,-0.004813649008664211,-0.058467866323907436,0.060802918271313816,210.20850000786595
Gradient Boosting,g13,False,0.5972762645914397,0.43260668380462725,0.3799485861182519,0.5882322419857419,0.10311284046692604,0.05828086337513494,-0.10079177377892029,0.001329182865051009,1065.8108000061475
CatBoost,g13,False,0.5680933852140078,0.4649048843187661,0.40828791773778916,0.5854977302204928,0.04474708171206221,0.028843624935339873,-0.09252442159383034,0.0036005836690446284,1437.6907999976538
EBM (Glassbox),g13,False,0.6011673151750972,0.4704678663239074,0.43553727506426737,0.6057629692194769,-0.06420233463035019,-0.034391687265729054,-0.02167609254498709,0.001362256820364366,19311.266999982763
SVM (RBF Kernel),g13,False,0.7568093385214008,0.5,0.46403084832904884,0.6520461410516609,0.0,0.0,0.0021491002570693807,0.13738832683827917,2777.5647999951616
MLP Neural Network,g13,False,0.669260700389105,0.4801645244215938,0.4943958868894602,0.6361907954894688,0.04280155642023342,0.01400490926839304,-0.008514138817480699,0.0011285992655432004,3773.2078000262845
RFF + Ridge (Proposed),g13,False,0.7568093385214008,0.5,0.4589408740359896,0.6520461410516609,0.10116731517509725,0.026459233661452974,-0.004380462724935752,0.011677821035449782,1116.4644999953452
SCN (Stochastic Config),g13,False,0.7568093385214008,0.5,0.48596401028277636,0.6520461410516609,0.11673151750972766,0.02636122300492849,0.020544987146529525,0.01713735406361303,1969.8464999964926
Logistic Regression,g2,False,0.7504553734061931,0.5,0.9407731556941393,0.6434705803191499,-0.04007285974499086,-0.12103339487092124,0.05160867408404779,0.0005078324195648966,12.129999988246709
Random Forest,g2,False,0.7085610200364298,0.5037559350861031,0.8531553398058254,0.6536791181785475,-0.04553734061930781,-0.04971500210100532,-0.01518319041882199,0.050503642994652626,206.10330000636168
Gradient Boosting,g2,False,0.7231329690346083,0.49641237332577426,0.8754252001984268,0.6465849539318225,-0.05282331511839711,-0.12488635240730073,0.022881085677840085,0.0012870673883285625,1084.9869000085164
CatBoost,g2,False,0.7049180327868853,0.498892707816597,0.861207568563532,0.6493501071557793,-0.05282331511839711,-0.07563495350862548,0.0194883424278931,0.0043577413441094216,1422.4507999897469
EBM (Glassbox),g2,False,0.7140255009107468,0.495216497767699,0.8782687265254057,0.6461600575274411,-0.04735883424408016,-0.05859769747953225,0.01530720714336331,0.0011683060008971418,12890.483900002437
SVM (RBF Kernel),g2,False,0.7504553734061931,0.5,0.7872847423995464,0.6434705803191499,0.0,0.0,0.038861526468712326,0.12977085608941502,2816.167000011774
MLP Neural Network,g2,False,0.7285974499089253,0.5097973212387499,0.8673552547657856,0.6596236105790237,-0.05464480874316946,-0.08643987260125108,-0.052033874282474635,0.001189617479545741,3946.012600004906
RFF + Ridge (Proposed),g2,False,0.7304189435336976,0.4866504854368932,0.7562185529019914,0.6335423257597546,-0.010928961748633892,-0.04094739021594762,0.09368577705336256,0.012963934430855925,803.4749000216834
SCN (Stochastic Config),g2,False,0.7504553734061931,0.5,0.6132449861809937,0.6434705803191499,-0.0018214936247723523,-0.030631695224077826,-0.03293529870313927,0.01666648451235478,1570.6214999954682
Logistic Regression,g9,False,0.7673076923076924,0.5,0.2626193583131382,0.6662802377165815,0.21153846153846156,0.08061800908481809,-0.23523685246173287,0.0004905769646239395,11.979999981122091
Random Forest,g9,False,0.7230769230769231,0.583462789204416,0.5511091779034363,0.7139882782914567,0.05384615384615388,0.06652077059485073,0.09682263510014699,0.05272442308173945,195.9770999965258
Gradient Boosting,g9,False,0.7442307692307693,0.5483025746183641,0.5589386689865159,0.7068995897294893,0.2538461538461539,0.17762496681727247,0.07972410364754856,0.0011278846404121185,1053.532299993094
CatBoost,g9,False,0.7269230769230769,0.5744526605770625,0.5812257917521075,0.7125486422246061,0.18653846153846154,0.13894293446048256,0.10542886140972274,0.0040234615041229585,1552.359900000738
EBM (Glassbox),g9,False,0.6884615384615385,0.5436318067897015,0.5632883862548934,0.6815824375261762,0.04807692307692313,0.04731524201052573,0.0696369021727874,0.0014123077002855448,19724.48040000745
SVM (RBF Kernel),g9,False,0.7673076923076924,0.5,0.4943557240207958,0.6662802377165815,0.0,0.0,0.023623107355164763,0.12949769230684838,2936.7555000062566
MLP Neural Network,g9,False,0.698076923076923,0.5614138652416164,0.5672859835539261,0.6929409074650114,0.0903846153846154,0.07363279819362178,0.08258248928105394,0.0010432692271514009,2711.7397999973036
RFF + Ridge (Proposed),g9,False,0.7673076923076924,0.5,0.572215663124754,0.6662802377165815,0.125,0.03187077240874958,0.04705979825597051,0.00892057695846933,874.9905999866314
SCN (Stochastic Config),g9,False,0.7673076923076924,0.5,0.56782451997763,0.6662802377165815,0.14038461538461544,0.03625730366138935,0.0992149795977546,0.011238846155510355,1621.1042999930214
Logistic Regression,s14,False,0.751004016064257,0.5,0.36874676556839747,0.6442098669908993,0.17269076305220887,0.04616362798080487,-0.12957132999827492,0.00044738957527501276,9.23779999720864
Random Forest,s14,False,0.748995983935743,0.5741331723305158,0.5089378126617216,0.7128567825176584,0.06024096385542166,0.059524843986649034,0.009778764878385304,0.06267148592269953,204.78229998843744
Gradient Boosting,s14,False,0.7630522088353414,0.540365706399862,0.4578769190960842,0.6893191395393229,0.19277108433734946,0.0963736719628504,-0.0557292565119889,0.0013395582641807784,1114.3297999806236
CatBoost,s14,False,0.7449799196787149,0.5498964981887183,0.48671726755218214,0.6955924939981535,0.09638554216867479,0.048447704071851394,-0.03428497498706229,0.0049224899811520575,1583.8700000022072
EBM (Glassbox),s14,False,0.7630522088353414,0.5592332240814214,0.4665559772296015,0.7061587007370141,0.028112449799196804,0.05986785172222597,-0.02954114196998453,0.0021995984281536684,11133.744899998419
SVM (RBF Kernel),s14,False,0.751004016064257,0.5,0.5242582370191479,0.6442098669908993,0.0,0.0,0.06057012247714333,0.22393654614413927,3443.3226000110153
MLP Neural Network,s14,False,0.7650602409638554,0.5309211661204071,0.4135975504571329,0.6791421166942402,0.12650602409638556,0.0480800124322498,-0.03892099361738838,0.001441164645385072,2942.440099985106
RFF + Ridge (Proposed),s14,False,0.751004016064257,0.5,0.4150422632396067,0.6442098669908993,0.15863453815261042,0.04181653394958662,-0.06335173365533897,0.012395983941976475,747.441700019408
SCN (Stochastic Config),s14,False,0.751004016064257,0.5,0.42209332413317235,0.6442098669908993,0.11044176706827313,0.016657617352484055,-0.04079696394686905,0.014887349380846005,1606.4703000010923
Logistic Regression,s15,False,0.7421875,0.5,0.5779306220095695,0.632357062780269,0.16796875,0.038270493482070345,0.05073763955342914,0.0004271484499440703,8.711000002222136
Random Forest,s15,False,0.658203125,0.5002791068580542,0.4880681818181818,0.6341028658086474,0.001953125,-0.009056306257125502,-0.019218500797448135,0.05778417965984772,198.9950000133831
Gradient Boosting,s15,False,0.712890625,0.5148724082934609,0.5185406698564594,0.6549315371024735,0.275390625,0.19408090700610586,0.01502192982456152,0.001187500004107278,1062.1619000157807
CatBoost,s15,False,0.6796875,0.4999202551834131,0.46501196172248804,0.6390990718321228,0.083984375,0.027205263823727344,-0.06752392344497615,0.0040669922327651875,1488.634400011506
EBM (Glassbox),s15,False,0.701171875,0.5143939393939394,0.5170653907496012,0.6533938172043011,-0.001953125,-0.01211263961571507,-0.018221690590111694,0.0013626953432321898,16755.58299999102
SVM (RBF Kernel),s15,False,0.7421875,0.5,0.5858054226475278,0.632357062780269,0.0,0.0,0.03052232854864423,0.12853535156409635,2881.8395000125747
MLP Neural Network,s15,False,0.703125,0.48604465709728867,0.46748405103668256,0.6272288820142649,0.044921875,-0.017367898340551524,-0.055342902711323805,0.0011113281175312295,2964.128999999957
RFF + Ridge (Proposed),s15,False,0.7421875,0.5,0.48857655502392344,0.632357062780269,0.10546875,-0.0025182141025340554,-0.04084928229665069,0.01618925784896419,767.7131999807898
SCN (Stochastic Config),s15,False,0.7421875,0.5,0.5196172248803828,0.632357062780269,0.0859375,-0.011966916811567696,-0.009469696969697017,0.020622070337594778,1915.7420999836177
Logistic Regression,s16,False,0.7490494296577946,0.5,0.518997077372712,0.6415771201851547,0.1749049429657794,0.05019514491367516,0.05320335333025694,0.00049828894979926,9.685900004114956
Random Forest,s16,False,0.6045627376425855,0.43629826180587605,0.3447834948469466,0.5864654897257834,-0.06083650190114076,-0.05982714022111679,-0.1408341024457776,0.057203802297833756,204.04479998978786
Gradient Boosting,s16,False,0.6692015209125475,0.4592947238886325,0.4953853253345639,0.6125329776106497,0.24144486692015205,0.16370814780328624,-0.006672050453776279,0.0010967680572677304,1062.498899991624
CatBoost,s16,False,0.6368821292775665,0.49817335794493156,0.45958314105522224,0.6293363558833586,0.11026615969581743,0.07128773220182727,-0.07089293954776199,0.004531558914669566,1528.766600007657
EBM (Glassbox),s16,False,0.6634980988593155,0.4731195200738348,0.536532841101369,0.623218437086771,-0.017110266159695908,-0.032500807937902,0.04795416089832327,0.0011389733698509434,14112.121199985268
SVM (RBF Kernel),s16,False,0.7490494296577946,0.5,0.5407052761113675,0.6415771201851547,0.0,0.0,0.02614020919858495,0.14628212928405462,2688.8206000148784
MLP Neural Network,s16,False,0.7262357414448669,0.4923281033687125,0.4852138132594986,0.6395052818830987,0.03992395437262353,-0.020242671581820137,-0.006499000153822487,0.0012410646273503115,2755.8115999854635
RFF + Ridge (Proposed),s16,False,0.7490494296577946,0.5,0.5018074142439625,0.6415771201851547,0.15399239543726229,0.03638152622838431,0.028610982925703743,0.012604752832141922,667.9819999844767
SCN (Stochastic Config),s16,False,0.7490494296577946,0.5,0.5229772342716505,0.6415771201851547,0.09885931558935357,0.01711821407225611,0.032802645746808246,0.019023764259695382,1633.0727000022307
Logistic Regression,s6,False,0.7751277683134583,0.5,0.8901764901764901,0.6769349991988935,-0.02044293015332188,-0.09028042262477265,0.046919746919746874,0.0003724020538499398,9.718899993458763
Random Forest,s6,False,0.807495741056218,0.6472610722610723,0.8954961704961706,0.7866651316775314,0.022146507666098714,0.07093485591092152,0.04201631701631714,0.04605792160978893,190.02000000909902
Gradient Boosting,s6,False,0.75809199318569,0.5616133866133866,0.8855727605727606,0.724538249158005,-0.017035775127768327,-0.04935179453398375,0.0700715950715951,0.0011906303164709417,1016.4354000007734
CatBoost,s6,False,0.8091993185689949,0.6402930402930402,0.9117715617715619,0.7849398150901286,0.03747870528109021,0.03181164695812533,0.16062271062271072,0.003253321958232982,1511.766899988288
EBM (Glassbox),s6,False,0.8040885860306644,0.6396853146853146,0.9114552114552115,0.7818607351004074,0.028960817717206044,0.06619358287300048,0.16961371961371952,0.0013804088586233747,15905.875600001309
SVM (RBF Kernel),s6,False,0.7751277683134583,0.5,0.7704129204129204,0.6769349991988935,0.0,0.0,0.11748251748251748,0.13304293012679627,2505.275800009258
MLP Neural Network,s6,False,0.8262350936967632,0.6297702297702298,0.8958874458874458,0.7891153145743994,0.09880749574105618,0.09949475214284453,0.133100233100233,0.0010422487256118752,2839.823999995133
RFF + Ridge (Proposed),s6,False,0.7734241908006815,0.4989010989010989,0.9387279387279387,0.6760960745712009,-0.011925042589437829,-0.07271879659032654,0.17277722277722274,0.009982793873931192,958.7631000031251
SCN (Stochastic Config),s6,False,0.7751277683134583,0.5,0.8879786879786881,0.6769349991988935,0.005110732538330498,-0.019730702159015623,0.28344988344988353,0.02023764906587552,1555.593300028704
Logistic Regression,s7,False,0.6631016042780749,0.5,0.7871543778801844,0.5287755558230307,0.024064171122994638,-0.09304812270151297,0.13056835637480813,0.000553208566395277,10.361900000134483
Random Forest,s7,False,0.679144385026738,0.5277137736815156,0.8321172555043523,0.5727167872496592,0.010695187165775444,-0.0010428189408000499,0.08734959037378387,0.07716711228626237,208.01850000862032
Gradient Boosting,s7,False,0.6497326203208557,0.4957757296466974,0.7947228622631849,0.5356855581497698,0.02941176470588236,-0.08463529746520349,0.169370839733743,0.0021697861207200884,1090.6823999830522
CatBoost,s7,False,0.6737967914438503,0.5256336405529954,0.8121159754224269,0.5733605403884041,0.08288770053475936,-0.009529954708138,0.24721582181259583,0.0058663101620314755,1544.9921999825165
EBM (Glassbox),s7,False,0.6550802139037433,0.49980798771121354,0.7795378904249872,0.5385314618209733,-0.021390374331550888,-0.0601833182086855,0.16980286738351258,0.005210962558643305,17614.62809998193
SVM (RBF Kernel),s7,False,0.6631016042780749,0.5,0.7461597542242704,0.5287755558230307,0.0,0.0,0.1201676907322069,0.13478074869001533,2795.1265999872703
MLP Neural Network,s7,False,0.6631016042780749,0.5058563748079877,0.8143881208397338,0.5427807486631016,0.010695187165775333,-0.07222378584607692,0.03645033282130061,0.0015184492430584953,2999.2214999801945
RFF + Ridge (Proposed),s7,False,0.6631016042780749,0.5,0.819636456733231,0.5287755558230307,-0.013368983957219305,-0.1120045487053638,0.18830005120327709,0.01003770054975415,743.2487000187393
SCN (Stochastic Config),s7,False,0.6631016042780749,0.5,0.7672171018945212,0.5287755558230307,0.016042780748663055,-0.06552720024443126,0.21617383512544797,0.013109625729279005,1656.8992000247817
Logistic Regression,s8,False,0.764102564102564,0.5,0.9217650682488734,0.6619260584376864,-0.047863247863247915,-0.12793812603791344,-0.0015562688454430207,0.0003724786329568706,9.348399995360523
Random Forest,s8,False,0.7914529914529914,0.5629802548390235,0.9427990143630646,0.7257362157197049,-0.0034188034188034067,-0.022800043236996248,0.023400771649969232,0.0482282051557882,200.0007999886293
Gradient Boosting,s8,False,0.7794871794871795,0.5376179359984438,0.9545764030736309,0.7017403915518545,-0.03076923076923077,-0.10100997347628604,0.0978017702558116,0.001219145279043378,1054.3256000091787
CatBoost,s8,False,0.7931623931623931,0.5666034432448206,0.9493888402554874,0.7290301124017041,0.0017094017094017033,-0.030968830236413725,0.09746133644587107,0.003569743607957394,1431.975399988005
EBM (Glassbox),s8,False,0.7846153846153846,0.5509921213889699,0.9535875239114224,0.7145197997269004,-0.006837606837606813,-0.017330996682883626,0.06405018967026554,0.0011217093859345485,15561.349199997494
SVM (RBF Kernel),s8,False,0.764102564102564,0.5,0.9460169244236942,0.6619260584376864,0.0,0.0,0.19498751742696885,0.1288569230848971,2635.367500013672
MLP Neural Network,s8,False,0.7777777777777778,0.5364993677657816,0.9402457607885096,0.7006686657705167,-0.029059829059829068,-0.06618704953305354,0.01609765587005174,0.0011576067966719468,2827.096699998947
RFF + Ridge (Proposed),s8,False,0.764102564102564,0.5,0.9306325584411375,0.6619260584376864,-0.022222222222222254,-0.06627686541780076,0.1749343449080829,0.017797606837991465,1085.194200015394
SCN (Stochastic Config),s8,False,0.764102564102564,0.5,0.934847453230879,0.6619260584376864,0.0,-0.014939245824878156,0.1931718704406188,0.021711965817878515,1648.496999987401
Logistic Regression,v4,True,1.0,,,1.0,0.0,0.0,,0.001391935520880525,8.220400020945817
Random Forest,v4,True,1.0,,,1.0,0.0,0.0,,0.12907096759356076,206.8839000130538
Gradient Boosting,v4,True,1.0,,,1.0,0.016129032258064502,0.008130081300813052,,0.0040564517539385106,1132.077099988237
CatBoost,v4,True,1.0,,,1.0,0.048387096774193505,0.024793388429752095,,0.015745161245802358,1477.185499999905
EBM (Glassbox),v4,True,1.0,,,1.0,0.008064516129032251,0.004048582995951455,,0.0030443547838067096,14854.286399990087
SVM (RBF Kernel),v4,True,1.0,,,1.0,0.0,0.0,,0.1391435484214115,2967.712900019251
MLP Neural Network,v4,True,1.0,,,1.0,0.024193548387096753,0.01224489795918371,,0.0032443548984555227,2053.7106999836396
RFF + Ridge (Proposed),v4,True,1.0,,,1.0,0.048387096774193505,0.024793388429752095,,0.019526613018129982,962.1591000177432
SCN (Stochastic Config),v4,True,1.0,,,1.0,0.0,0.0,,0.03480322582970163,1639.4084000203293
Logistic Regression,v5,True,1.0,,,1.0,0.16190476190476188,0.08808290155440412,,0.0020323809058893296,8.030099997995421
Random Forest,v5,True,0.7714285714285715,,,0.8709677419354839,-0.10476190476190472,-0.06304241034878022,,0.1741257141388598,224.81290000723675
Gradient Boosting,v5,True,0.8666666666666667,,,0.9285714285714286,0.3238095238095239,0.22486772486772488,,0.0039761905403186875,1135.6613999814726
CatBoost,v5,True,0.8380952380952381,,,0.9119170984455959,0.16190476190476188,0.10509891662741422,,0.014372380904942042,1442.7217999764252
EBM (Glassbox),v5,True,0.8380952380952381,,,0.9119170984455959,-0.09523809523809523,-0.05360014293371451,,0.00399142847440782,10666.704700008268
SVM (RBF Kernel),v5,True,1.0,,,1.0,0.0,0.0,,0.14303428553310887,3288.789000012912
MLP Neural Network,v5,True,0.6857142857142857,,,0.8135593220338984,0.04761904761904767,0.03448955459203784,,0.0032552382132659354,5416.131299978588
RFF + Ridge (Proposed),v5,True,1.0,,,1.0,0.2666666666666667,0.15384615384615385,,0.022894285696869094,952.4701000191271
SCN (Stochastic Config),v5,True,0.9333333333333333,,,0.9655172413793104,0.04761904761904767,0.02612330198537094,,0.021689524042553136,1642.2312000067905
